Artista,Artista Album,Titolo,Posizione,Durata,Album,Anno,Paese,Etichetta,Catalogo,Formato,Genere,Stile,Cartella,URL Discogs,Cover,Written By,Crediti Traccia,Note
Gazebo,Various,I Like Chopin,A1,4:08,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,Pierluigi Giombini | Gazebo,"Pierluigi Giombini [Arranged By, Producer, Written-By] | Gazebo [Written-By]",
M. J. Righeira,Various,Vamos A La Playa,A2,3:53,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,Carmelo La Bionda | Stefano Righi,La Bionda [Producer] | Carmelo La Bionda [Written-By] | Stefano Righi [Written-By],
The Twins,Various,Not The Loving Kind,A3,2:31,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,Ronny Schreinzer | Sven Dohrow,The Twins [Producer] | Ronny Schreinzer [Written-By] | Sven Dohrow [Written-By],
J.D. Jaber,Various,Don't Stop Lovin',A4,1:49,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,Antonello Gabelli | J.D. Jaber,"Antonello Gabelli [Arranged By] | Paradiso Gilioli [Arranged By] | Stefano Cundari [Arranged By, Producer] | Alessandro Zanni [Producer] | Antonello Gabelli [Written-By] | J.D. Jaber [Written-By]",
Cheaps,Various,Moliendo Café,A5,1:12,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,Antonello Gabelli | José Manzo,"Paradiso Gilioli [Arranged By] | Stefano Cundari [Arranged By, Mixed By, Producer] | Antonello Gabelli [Arranged By, Written-By] | Alessandro Zanni [Producer] | José Manzo [Written-By]",
F. Fellini,Various,Dolce Vita,A6,2:47,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,Paul Mazzolini | Pierluigi Giombini,John Bini [Producer] | Paul Mazzolini [Written-By] | Pierluigi Giombini [Written-By],
La Bionda,Various,"One For You, One For Me",A7,2:45,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,La Bionda | Richard Palmer-James,La Bionda [Written-By] | Richard Palmer-James [Written-By],
The Nips (2),Various,Sunshine Reggae,A8,2:57,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,John Guldberg | Tim Stahl,Giuliano Saglia [Producer] | Silvio Trisolino [Producer] | John Guldberg [Written-By] | Tim Stahl [Written-By],
Various,Various,Medley: B Project,,4:28,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,,,
"One, Two, Three",Various,Runaway,B2,2:58,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,Bobby Orlando,"Bobby Orlando [Written-By, Producer]",
